maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
バンドック,ツーリングテント ＵＶ,BDK-18,,不明,,210,210,110,4.4,2.10,小型,https://kawase-net.jp/products/post-10280/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム ウルトラライト,BDK-08SIL,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-10304/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,トリオドーム,BDK-13SIL,,不明,,320,210,115,6.7,3.20,小型,https://kawase-net.jp/products/post-10310/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム １ サンドベージュ,BDK-08B,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-13749/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １ サンドベージュ,BDK-75B,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-13755/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １ ＴＣ サンドベージュ,BDK-75TCSB,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-13790/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １ ＴＣ,BDK-75TC,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-13944/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロベース ＴＣ,BDK-79TC,,不明,,360,190,110,6.8,3.60,小型,https://kawase-net.jp/products/post-13952/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型テント３（２〜３人用）,BDK-12,,不明,,200,200,135,4.0,2.00,小型,https://kawase-net.jp/products/post-3306/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ツーリングテント ＵＶ（１〜２人用）,BDK-17,,不明,,210,200,115,4.2,2.10,小型,https://kawase-net.jp/products/post-3311/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ワンタッチドーム型 テント３＋ ＵＶ,BDK-11,,不明,,347,210,140,7.3,3.47,小型,https://kawase-net.jp/products/post-3316/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型 テント5 ＵＶ（４〜５人用）,BDK-15,,不明,,410,270,180,11.1,4.10,中型,https://kawase-net.jp/products/post-3321/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ワンタッチドーム型テント ２,BDK-07,,不明,,210,210,110,4.4,2.10,小型,https://kawase-net.jp/products/post-3326/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム １,BDK-08,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-3331/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,プライベートテント ＵＶ,NT-51,,不明,,120,120,180,1.4,1.20,小型,https://kawase-net.jp/products/post-3524/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型テント ３,BDK-03,,不明,,200,200,130,4.0,2.00,小型,https://kawase-net.jp/products/post-6098/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,デュオドーム ２,BDK-06,,不明,,220,210,120,4.6,2.20,小型,https://kawase-net.jp/products/post-6106/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドームテント ３ＡＬ,BDK-05,,不明,,300,200,140,6.0,3.00,小型,https://kawase-net.jp/products/post-6114/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドームシェルター ３００,BDK-115,,不明,,320,320,200,10.2,3.20,中型,https://kawase-net.jp/products/post-6122/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型テント５ ＵＶ,BDK-76,,不明,,360,270,180,9.7,3.60,中型,https://kawase-net.jp/products/post-9525/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,クイックイージードーム４ ＵＶ,BDK-77,,不明,,340,265,127,9.0,3.40,中型,https://kawase-net.jp/products/post-9537/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ポップアップテント２,BDK-78,,不明,,252,192,103,4.8,2.52,小型,https://kawase-net.jp/products/post-9543/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム １+,BDK-08RS,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-9649/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １,BDK-75,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-9651/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロベース ＴＣ サンドベージュ,BDK-79TCSB,,現行,,360,190,110,6.8,3.60,小型,https://kawase-net.jp/products/products-15462/,公式,2026-09-24,
バンドック,ソロドーム １ オリーブ,BDK-08O,,現行,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/products-28766/,公式,2026-09-24,
バンドック,ソロティピー １ オリーブ,BDK-75O,,現行,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/products-28773/,公式,2026-09-24,
バンドック,コンフォーベース,BDK-003,,現行,,680,380,200,25.8,6.80,超大型,https://kawase-net.jp/products/products-34564/,公式,2026-09-24,
バンドック,アングラー ２ルーム,BDK-004,,現行,,540,300,200,16.2,5.40,中型,https://kawase-net.jp/products/products-34570/,公式,2026-09-24,
バンドック,ジョイントポップアップシェルター １７０ フルクローズ,BD-01,,現行,,190,168,120,3.2,1.90,小型,https://kawase-net.jp/products/products-42343/,公式,2026-09-24,
バンドック,プルアップシェルター ＢＫコーティング,BD-02,,現行,,190,168,140,3.2,1.90,小型,https://kawase-net.jp/products/products-44135/,公式,2026-09-24,
バンドック,プライベートシェルター,BD-61,,現行,,120,120,180,1.4,1.20,小型,https://kawase-net.jp/products/products-44520/,公式,2026-09-24,
キャプテンスタッグ,プレーナドームテント〈5~6人用〉(キャリーバッグ付),M-3102,,現行,,270,270,170,7.3,2.70,小型,https://www.captainstag.net/products/M-3102.html,公式,2026-09-24,
キャプテンスタッグ,着替えテント,M-3104,,現行,,120,120,195,1.4,1.20,小型,https://www.captainstag.net/products/M-3104.html,公式,2026-09-24,
キャプテンスタッグ,レニアスドームテント〈5~6人用〉(キャリーバッグ付),M-3106,,現行,,270,270,180,7.3,2.70,小型,https://www.captainstag.net/products/M-3106.html,公式,2026-09-24,
キャプテンスタッグ,オルディナスクリーンツールームドームテント＜5~6人用＞(キャリーバッグ付),M-3117,,現行,,620,280,190,17.4,6.20,中型,https://www.captainstag.net/products/M-3117.html,公式,2026-09-24,
キャプテンスタッグ,オルディナスクリーンドームテント〈6人用〉(キャリーバッグ付),M-3118,,現行,,420,340,180,14.3,4.20,中型,https://www.captainstag.net/products/M-3118.html,公式,2026-09-24,
キャプテンスタッグ,リベロツーリングテントUV〈2人用〉,M-3119,,現行,,260,210,130,5.5,2.60,小型,https://www.captainstag.net/products/M-3119.html,公式,2026-09-24,
キャプテンスタッグ,ワカサギ釣りワンタッチテント210〈コンパクト〉OR,M-3131,,現行,,210,210,150,4.4,2.10,小型,https://www.captainstag.net/products/M-3131.html,公式,2026-09-24,
キャプテンスタッグ,CSドームテント270UV〈5~6人用〉(キャリーバッグ付),M-3132,,現行,,430,270,184,11.6,4.30,中型,https://www.captainstag.net/products/M-3132.html,公式,2026-09-24,
キャプテンスタッグ,CSツールームドームUV〈3~4人用〉(キャリーバッグ付),M-3133,,現行,,475,220,165,10.5,4.75,中型,https://www.captainstag.net/products/M-3133.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾートポップアップビーチテントUV(ブルー),M-5781,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/M-5781.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾート ポップアップ着替えテントUV(ブルー),M-5788,,現行,,120,120,190,1.4,1.20,小型,https://www.captainstag.net/products/M-5788.html,公式,2026-09-24,
キャプテンスタッグ,ディズニー ポップアップテントフルクローズUV（くまのプーさん／こんにちは）,MA-1093,,現行,,180,178,120,3.2,1.80,小型,https://www.captainstag.net/products/MA-1093.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア アルミファミリージオドーム6UV(キャリーバッグ付),UA-1,,現行,,280,280,180,7.8,2.80,小型,https://www.captainstag.net/products/UA-1.html,公式,2026-09-24,
キャプテンスタッグ,ビバレー スクリーンツールームロッジ540UV,UA-1001,,現行,,540,320,205,17.3,5.40,中型,https://www.captainstag.net/products/UA-1001.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾート ポップアップテントUV〈M〉(ブルー),UA-14,,現行,,200,150,130,3.0,2.00,小型,https://www.captainstag.net/products/UA-14.html,公式,2026-09-24,
キャプテンスタッグ,CS 3ルームドームテントUV(4人用)(キャリーバッグ付),UA-15,,現行,,400,240,140,9.6,4.00,中型,https://www.captainstag.net/products/UA-15.html,公式,2026-09-24,
キャプテンスタッグ,アルミワンポールテント300UV,UA-16,,現行,,300,250,180,7.5,3.00,小型,https://www.captainstag.net/products/UA-16.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア シェルターワンルームドーム 5~6人用,UA-17,,現行,,540,250,185,13.5,5.40,中型,https://www.captainstag.net/products/UA-17.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア ツールームドーム270 4~5人用,UA-18,,現行,,490,270,155,13.2,4.90,中型,https://www.captainstag.net/products/UA-18.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア ソロテント,UA-19,,現行,,210,190,130,4.0,2.10,小型,https://www.captainstag.net/products/UA-19.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア アルミツーリングドーム2UV(キャリーバッグ付),UA-2,,現行,,210,130,125,2.7,2.10,小型,https://www.captainstag.net/products/UA-2.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア スクリーンツールームドーム,UA-21,,現行,,460,345,200,15.9,4.60,中型,https://www.captainstag.net/products/UA-21.html,公式,2026-09-24,
キャプテンスタッグ,キャンプアウト ポップアップテント デュオUV(カモフラージュ),UA-27,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-27.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテント(ピンク),UA-28,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-28.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテント(ミントグリーン),UA-29,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-29.html,公式,2026-09-24,
キャプテンスタッグ,リベロ ツーリングテントUV〈2人用〉BL,UA-3,,現行,,260,210,130,5.5,2.60,小型,https://www.captainstag.net/products/UA-3.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントフルクローズ(ピンク),UA-30,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-30.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントフルクローズ(ミントグリーン),UA-31,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-31.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントDUO(ピンク),UA-32,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-32.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントDUO(ミントグリーン),UA-33,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-33.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス ワンポールテント ヘキサゴン300UV,UA-34,,現行,,300,250,180,7.5,3.00,小型,https://www.captainstag.net/products/UA-34.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス ワンポールテント オクタゴン460UV,UA-35,,現行,,460,460,300,21.2,4.60,大型,https://www.captainstag.net/products/UA-35.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス キャンプベースUV,UA-39,,現行,,680,380,220,25.8,6.80,超大型,https://www.captainstag.net/products/UA-39.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾートポップアップシェルターUV(ブルー),UA-4,,現行,,220,120,100,2.6,2.20,小型,https://www.captainstag.net/products/UA-4.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ソロテントUV,UA-40,,現行,,210,140,110,2.9,2.10,小型,https://www.captainstag.net/products/UA-40.html,公式,2026-09-24,
キャプテンスタッグ,モンテ スクリーンツールームドームテント(5~6人用),UA-44,,現行,,620,280,190,17.4,6.20,中型,https://www.captainstag.net/products/UA-44.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス オクタゴン460UV用インナーテント,UA-45,,現行,,280,210,160,5.9,2.80,小型,https://www.captainstag.net/products/UA-45.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス ワンポールテント DXオクタゴン400UV,UA-46,,現行,,400,400,250,16.0,4.00,中型,https://www.captainstag.net/products/UA-46.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス ワンポールテント DXオクタゴン460UV,UA-47,,現行,,460,460,300,21.2,4.60,大型,https://www.captainstag.net/products/UA-47.html,公式,2026-09-24,
キャプテンスタッグ,クレセント 3人用ドームテント(ネイビー),UA-48,,現行,,200,200,130,4.0,2.00,小型,https://www.captainstag.net/products/UA-48.html,公式,2026-09-24,
キャプテンスタッグ,クレセント 3人用ドームテント(グリーン),UA-49,,現行,,200,200,130,4.0,2.00,小型,https://www.captainstag.net/products/UA-49.html,公式,2026-09-24,
キャプテンスタッグ,クレセント 3人用ドームテント(アンバー),UA-50,,現行,,200,200,130,4.0,2.00,小型,https://www.captainstag.net/products/UA-50.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー アルミドームテント3UV,UA-51,,現行,,320,200,135,6.4,3.20,小型,https://www.captainstag.net/products/UA-51.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ソロテントUV（グリーン）,UA-52,,現行,,210,140,110,2.9,2.10,小型,https://www.captainstag.net/products/UA-52.html,公式,2026-09-24,
キャプテンスタッグ,ソロツェルトUV,UA-53,,現行,,210,80,90,1.7,2.10,小型,https://www.captainstag.net/products/UA-53.html,公式,2026-09-24,
キャプテンスタッグ,キャンプアウト アルミドームテント3UV（オールドイエロー）,UA-54,,現行,,320,200,135,6.4,3.20,小型,https://www.captainstag.net/products/UA-54.html,公式,2026-09-24,
キャプテンスタッグ,キャンプアウト ポップアップテントフルクローズ（オールドイエロー）,UA-55,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-55.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー アルミテント2UV（カーキ）,UA-61,,現行,,255,210,115,5.4,2.55,小型,https://www.captainstag.net/products/UA-61.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ワンポールテント レクタ270UV（カーキ）,UA-62,,現行,,270,270,180,7.3,2.70,小型,https://www.captainstag.net/products/UA-62.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー キャンプベースソロUV（カーキ）,UA-63,,現行,,380,190,110,7.2,3.80,中型,https://www.captainstag.net/products/UA-63.html,公式,2026-09-24,
キャプテンスタッグ,アプリールポップアップテントDUO（グロウ／ライトグリーン）,UA-64,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-64.html,公式,2026-09-24,
キャプテンスタッグ,アプリールポップアップテントDUO（ブルーム／パープルグレー）,UA-65,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-65.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ユーティリティードーム3UV（カーキ）,UA-66,,現行,,450,220,135,9.9,4.50,中型,https://www.captainstag.net/products/UA-66.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ツーポールロッジUV〈3～4人用〉（カーキ）,UA-67,,現行,,285,215,160,6.1,2.85,小型,https://www.captainstag.net/products/UA-67.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ワンポールテントレクタ270UV タイプ2（カーキ）,UA-68,,現行,,345,270,180,9.3,3.45,中型,https://www.captainstag.net/products/UA-68.html,公式,2026-09-24,
キャプテンスタッグ,キャンプアウト ポップアップテントUVフルクローズ（エイジンググレー）,UA-69,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-69.html,公式,2026-09-24,
キャプテンスタッグ,CSブラックラベル ワンポールテントUV,UA-70,,現行,,400,330,250,13.2,4.00,中型,https://www.captainstag.net/products/UA-70.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ソロテントUV（カーキ）,UA-71,,現行,,210,140,110,2.9,2.10,小型,https://www.captainstag.net/products/UA-71.html,公式,2026-09-24,
キャプテンスタッグ,モンテ ポップアップテントフルクローズ（カーキ）,UA-72,,現行,,180,178,120,3.2,1.80,小型,https://www.captainstag.net/products/UA-72.html,公式,2026-09-24,
キャプテンスタッグ,CSブラックラベル ポップアップテントフルクローズ,UA-73,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-73.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップフルクローズUV（アイスグレー）,UA-74,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-74.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップUV（アイスグレー）,UA-75,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-75.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップデュオUV（アイスグレー）,UA-76,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-76.html,公式,2026-09-24,
キャプテンスタッグ,着替え・プライバシーテントUV,UA-77,,現行,,120,120,185,1.4,1.20,小型,https://www.captainstag.net/products/UA-77.html,公式,2026-09-24,
コールマン,4Ｓワイド2ルームコクーンⅢ,,,現行,,670,400,220,26.8,6.70,超大型,https://ec.coleman.co.jp/category/234/2000036431.html,公式,2026-09-24,公式間で数値不一致:同一ページに複数の本体サイズ記載 [約670×400×220（h）cm / 約580×350×200（h）cm] 出典 https://ec.coleman.co.jp/category/234/2000036431.html
コールマン,4Ｓワイド2ルームカーブ,,,現行,,670,400,220,26.8,6.70,超大型,https://ec.coleman.co.jp/category/234/2000036432.html,公式,2026-09-24,公式間で数値不一致:同一ページに複数の本体サイズ記載 [約670×400×220（h）cm / 約580×350×200（h）cm] 出典 https://ec.coleman.co.jp/category/234/2000036432.html
コールマン,ツーリングドーム/LX,,,現行,,335,210,122,7.0,3.35,小型,https://ec.coleman.co.jp/category/234/2000038142.html,公式,2026-09-24,
コールマン,ツーリングドームエアー/LX+,,,現行,,335,210,122,7.0,3.35,小型,https://ec.coleman.co.jp/category/234/2000039085.html,公式,2026-09-24,
コールマン,タフドームエアー/3025+,,,現行,,450,300,180,13.5,4.50,中型,https://ec.coleman.co.jp/category/234/2000039087.html,公式,2026-09-24,
コールマン,インスタントスワガー3P ダークルーム,,,現行,,240,210,130,5.0,2.40,小型,https://ec.coleman.co.jp/category/234/2157660.html,公式,2026-09-24,
コールマン,タフスクリーン2ルーム TX/MDX,,,現行,,560,340,210,19.0,5.60,中型,https://ec.coleman.co.jp/category/234/2191009.html,公式,2026-09-24,
コールマン,タフスクリーン2ルームエアー/LDX＋（デザートサンド）,,,現行,,610,365,220,22.3,6.10,大型,https://ec.coleman.co.jp/category/234/2206458.html,公式,2026-09-24,
コールマン,タフドーム Ⅵ/3025（グレージュ）,,,現行,,450,300,185,13.5,4.50,中型,https://ec.coleman.co.jp/category/234/2206745.html,公式,2026-09-24,
コールマン,レインカーム2ルーム/3025 DR,,,現行,,590,320,205,18.9,5.90,中型,https://ec.coleman.co.jp/category/234/2218233.html,公式,2026-09-24,
コールマン,ルーミーフロント2ルーム(グレージュ),,,現行,,490,260,170,12.7,4.90,中型,https://ec.coleman.co.jp/category/234/2218351.html,公式,2026-09-24,
DOD,バイクインパップ,T1-053,,現行,,295,220,144,6.5,2.95,小型,https://www.dod.camp/product/t1_053_ca/,公式,2026-09-24,
DOD,おうちテントベビー,T1-130,,現行,,100,100,95,1.0,1.00,小型,https://www.dod.camp/product/t1_130_br/,公式,2026-09-24,
DOD,めんだこテント,T1-176,,現行,,220,215,120,4.7,2.20,小型,https://www.dod.camp/product/t1_176_br/,公式,2026-09-24,
DOD,タテテント,T1-216,,現行,,120,120,190,1.4,1.20,小型,https://www.dod.camp/product/t1_216/,公式,2026-09-24,
DOD,ショウネンテント,T1-602,,現行,,270,220,180,5.9,2.70,小型,https://www.dod.camp/product/t1_602_gy/,公式,2026-09-24,
DOD,トゥリーラブ,T1-687,,現行,,250,250,200,6.3,2.50,小型,https://www.dod.camp/product/t1_687_kh/,公式,2026-09-24,
DOD,カマボコテントベビー,T1-750,,現行,,130,100,72,1.3,1.30,小型,https://www.dod.camp/product/t1_750_tn/,公式,2026-09-24,
DOD,ショウネンテントTC,T1-757,T1-757-GY;T1-757-TN,現行,,270,220,180,5.9,2.70,小型,https://www.dod.camp/product/t1_757_gy/,公式,2026-09-24,
DOD,ムシャテント,T1-819,T1-819-BK;T1-819-KH;T1-819-TN,現行,,290,290,183,8.4,2.90,中型,https://www.dod.camp/product/t1_819_bk/,公式,2026-09-24,
DOD,トゥリーイラヘン,T1-898,T1-898-KH;T1-898-TN,現行,,350,86,177,3.0,3.50,小型,https://www.dod.camp/product/t1_898_kh/,公式,2026-09-24,
