maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
バンドック,ツーリングテント ＵＶ,BDK-18,,不明,,210,210,110,4.4,2.10,小型,https://kawase-net.jp/products/post-10280/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム ウルトラライト,BDK-08SIL,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-10304/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,トリオドーム,BDK-13SIL,,不明,,320,210,115,6.7,3.20,小型,https://kawase-net.jp/products/post-10310/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム １ サンドベージュ,BDK-08B,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-13749/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １ サンドベージュ,BDK-75B,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-13755/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １ ＴＣ サンドベージュ,BDK-75TCSB,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-13790/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １ ＴＣ,BDK-75TC,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-13944/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロベース ＴＣ,BDK-79TC,,不明,,360,190,110,6.8,3.60,小型,https://kawase-net.jp/products/post-13952/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型テント３（２〜３人用）,BDK-12,,不明,,200,200,135,4.0,2.00,小型,https://kawase-net.jp/products/post-3306/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ツーリングテント ＵＶ（１〜２人用）,BDK-17,,不明,,210,200,115,4.2,2.10,小型,https://kawase-net.jp/products/post-3311/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ワンタッチドーム型 テント３＋ ＵＶ,BDK-11,,不明,,347,210,140,7.3,3.47,小型,https://kawase-net.jp/products/post-3316/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型 テント5 ＵＶ（４〜５人用）,BDK-15,,不明,,410,270,180,11.1,4.10,中型,https://kawase-net.jp/products/post-3321/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ワンタッチドーム型テント ２,BDK-07,,不明,,210,210,110,4.4,2.10,小型,https://kawase-net.jp/products/post-3326/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム １,BDK-08,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-3331/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,プライベートテント ＵＶ,NT-51,,不明,,120,120,180,1.4,1.20,小型,https://kawase-net.jp/products/post-3524/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型テント ３,BDK-03,,不明,,200,200,130,4.0,2.00,小型,https://kawase-net.jp/products/post-6098/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,デュオドーム ２,BDK-06,,不明,,220,210,120,4.6,2.20,小型,https://kawase-net.jp/products/post-6106/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドームテント ３ＡＬ,BDK-05,,不明,,300,200,140,6.0,3.00,小型,https://kawase-net.jp/products/post-6114/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドームシェルター ３００,BDK-115,,不明,,320,320,200,10.2,3.20,中型,https://kawase-net.jp/products/post-6122/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ドーム型テント５ ＵＶ,BDK-76,,不明,,360,270,180,9.7,3.60,中型,https://kawase-net.jp/products/post-9525/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,クイックイージードーム４ ＵＶ,BDK-77,,不明,,340,265,127,9.0,3.40,中型,https://kawase-net.jp/products/post-9537/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ポップアップテント２,BDK-78,,不明,,252,192,103,4.8,2.52,小型,https://kawase-net.jp/products/post-9543/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロドーム １+,BDK-08RS,,不明,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/post-9649/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロティピー １,BDK-75,,不明,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/post-9651/,公式,2026-09-24,現行/廃番の公式表示なし（旧カタログ掲載ページ）
バンドック,ソロベース ＴＣ サンドベージュ,BDK-79TCSB,,現行,,360,190,110,6.8,3.60,小型,https://kawase-net.jp/products/products-15462/,公式,2026-09-24,
バンドック,ソロドーム １ オリーブ,BDK-08O,,現行,,200,150,110,3.0,2.00,小型,https://kawase-net.jp/products/products-28766/,公式,2026-09-24,
バンドック,ソロティピー １ オリーブ,BDK-75O,,現行,,240,240,150,5.8,2.40,小型,https://kawase-net.jp/products/products-28773/,公式,2026-09-24,
バンドック,コンフォーベース,BDK-003,,現行,,680,380,200,25.8,6.80,超大型,https://kawase-net.jp/products/products-34564/,公式,2026-09-24,
バンドック,アングラー ２ルーム,BDK-004,,現行,,540,300,200,16.2,5.40,中型,https://kawase-net.jp/products/products-34570/,公式,2026-09-24,
バンドック,ジョイントポップアップシェルター １７０ フルクローズ,BD-01,,現行,,190,168,120,3.2,1.90,小型,https://kawase-net.jp/products/products-42343/,公式,2026-09-24,
バンドック,プルアップシェルター ＢＫコーティング,BD-02,,現行,,190,168,140,3.2,1.90,小型,https://kawase-net.jp/products/products-44135/,公式,2026-09-24,
バンドック,プライベートシェルター,BD-61,,現行,,120,120,180,1.4,1.20,小型,https://kawase-net.jp/products/products-44520/,公式,2026-09-24,
