maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
キャプテンスタッグ,プレーナドームテント〈5~6人用〉(キャリーバッグ付),M-3102,,現行,,270,270,170,7.3,2.70,小型,https://www.captainstag.net/products/M-3102.html,公式,2026-09-24,
キャプテンスタッグ,着替えテント,M-3104,,現行,,120,120,195,1.4,1.20,小型,https://www.captainstag.net/products/M-3104.html,公式,2026-09-24,
キャプテンスタッグ,レニアスドームテント〈5~6人用〉(キャリーバッグ付),M-3106,,現行,,270,270,180,7.3,2.70,小型,https://www.captainstag.net/products/M-3106.html,公式,2026-09-24,
キャプテンスタッグ,オルディナスクリーンツールームドームテント＜5~6人用＞(キャリーバッグ付),M-3117,,現行,,620,280,190,17.4,6.20,中型,https://www.captainstag.net/products/M-3117.html,公式,2026-09-24,
キャプテンスタッグ,オルディナスクリーンドームテント〈6人用〉(キャリーバッグ付),M-3118,,現行,,420,340,180,14.3,4.20,中型,https://www.captainstag.net/products/M-3118.html,公式,2026-09-24,
キャプテンスタッグ,リベロツーリングテントUV〈2人用〉,M-3119,,現行,,260,210,130,5.5,2.60,小型,https://www.captainstag.net/products/M-3119.html,公式,2026-09-24,
キャプテンスタッグ,ワカサギ釣りワンタッチテント210〈コンパクト〉OR,M-3131,,現行,,210,210,150,4.4,2.10,小型,https://www.captainstag.net/products/M-3131.html,公式,2026-09-24,
キャプテンスタッグ,CSドームテント270UV〈5~6人用〉(キャリーバッグ付),M-3132,,現行,,430,270,184,11.6,4.30,中型,https://www.captainstag.net/products/M-3132.html,公式,2026-09-24,
キャプテンスタッグ,CSツールームドームUV〈3~4人用〉(キャリーバッグ付),M-3133,,現行,,475,220,165,10.5,4.75,中型,https://www.captainstag.net/products/M-3133.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾートポップアップビーチテントUV(ブルー),M-5781,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/M-5781.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾート ポップアップ着替えテントUV(ブルー),M-5788,,現行,,120,120,190,1.4,1.20,小型,https://www.captainstag.net/products/M-5788.html,公式,2026-09-24,
キャプテンスタッグ,ディズニー ポップアップテントフルクローズUV（くまのプーさん／こんにちは）,MA-1093,,現行,,180,178,120,3.2,1.80,小型,https://www.captainstag.net/products/MA-1093.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア アルミファミリージオドーム6UV(キャリーバッグ付),UA-1,,現行,,280,280,180,7.8,2.80,小型,https://www.captainstag.net/products/UA-1.html,公式,2026-09-24,
キャプテンスタッグ,ビバレー スクリーンツールームロッジ540UV,UA-1001,,現行,,540,320,205,17.3,5.40,中型,https://www.captainstag.net/products/UA-1001.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾート ポップアップテントUV〈M〉(ブルー),UA-14,,現行,,200,150,130,3.0,2.00,小型,https://www.captainstag.net/products/UA-14.html,公式,2026-09-24,
キャプテンスタッグ,CS 3ルームドームテントUV(4人用)(キャリーバッグ付),UA-15,,現行,,400,240,140,9.6,4.00,中型,https://www.captainstag.net/products/UA-15.html,公式,2026-09-24,
キャプテンスタッグ,アルミワンポールテント300UV,UA-16,,現行,,300,250,180,7.5,3.00,小型,https://www.captainstag.net/products/UA-16.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア シェルターワンルームドーム 5~6人用,UA-17,,現行,,540,250,185,13.5,5.40,中型,https://www.captainstag.net/products/UA-17.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア ツールームドーム270 4~5人用,UA-18,,現行,,490,270,155,13.2,4.90,中型,https://www.captainstag.net/products/UA-18.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア ソロテント,UA-19,,現行,,210,190,130,4.0,2.10,小型,https://www.captainstag.net/products/UA-19.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア アルミツーリングドーム2UV(キャリーバッグ付),UA-2,,現行,,210,130,125,2.7,2.10,小型,https://www.captainstag.net/products/UA-2.html,公式,2026-09-24,
キャプテンスタッグ,エクスギア スクリーンツールームドーム,UA-21,,現行,,460,345,200,15.9,4.60,中型,https://www.captainstag.net/products/UA-21.html,公式,2026-09-24,
キャプテンスタッグ,キャンプアウト ポップアップテント デュオUV(カモフラージュ),UA-27,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-27.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテント(ピンク),UA-28,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-28.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテント(ミントグリーン),UA-29,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-29.html,公式,2026-09-24,
キャプテンスタッグ,リベロ ツーリングテントUV〈2人用〉BL,UA-3,,現行,,260,210,130,5.5,2.60,小型,https://www.captainstag.net/products/UA-3.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントフルクローズ(ピンク),UA-30,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-30.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントフルクローズ(ミントグリーン),UA-31,,現行,,220,200,130,4.4,2.20,小型,https://www.captainstag.net/products/UA-31.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントDUO(ピンク),UA-32,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-32.html,公式,2026-09-24,
キャプテンスタッグ,CSシャルマン ポップアップテントDUO(ミントグリーン),UA-33,,現行,,160,145,110,2.3,1.60,小型,https://www.captainstag.net/products/UA-33.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス ワンポールテント ヘキサゴン300UV,UA-34,,現行,,300,250,180,7.5,3.00,小型,https://www.captainstag.net/products/UA-34.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス ワンポールテント オクタゴン460UV,UA-35,,現行,,460,460,300,21.2,4.60,大型,https://www.captainstag.net/products/UA-35.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス キャンプベースUV,UA-39,,現行,,680,380,220,25.8,6.80,超大型,https://www.captainstag.net/products/UA-39.html,公式,2026-09-24,
キャプテンスタッグ,シャイニーリゾートポップアップシェルターUV(ブルー),UA-4,,現行,,220,120,100,2.6,2.20,小型,https://www.captainstag.net/products/UA-4.html,公式,2026-09-24,
キャプテンスタッグ,トレッカー ソロテントUV,UA-40,,現行,,210,140,110,2.9,2.10,小型,https://www.captainstag.net/products/UA-40.html,公式,2026-09-24,
キャプテンスタッグ,モンテ スクリーンツールームドームテント(5~6人用),UA-44,,現行,,620,280,190,17.4,6.20,中型,https://www.captainstag.net/products/UA-44.html,公式,2026-09-24,
キャプテンスタッグ,CSクラシックス オクタゴン460UV用インナーテント,UA-45,,現行,,280,210,160,5.9,2.80,小型,https://www.captainstag.net/products/UA-45.html,公式,2026-09-24,
