maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
コールマン,4Ｓワイド2ルームコクーンⅢ,,,現行,,670,400,220,26.8,6.70,超大型,https://ec.coleman.co.jp/category/234/2000036431.html,公式,2026-09-24,公式間で数値不一致:同一ページに複数の本体サイズ記載 [約670×400×220（h）cm / 約580×350×200（h）cm] 出典 https://ec.coleman.co.jp/category/234/2000036431.html
コールマン,4Ｓワイド2ルームカーブ,,,現行,,670,400,220,26.8,6.70,超大型,https://ec.coleman.co.jp/category/234/2000036432.html,公式,2026-09-24,公式間で数値不一致:同一ページに複数の本体サイズ記載 [約670×400×220（h）cm / 約580×350×200（h）cm] 出典 https://ec.coleman.co.jp/category/234/2000036432.html
コールマン,ツーリングドーム/LX,,,現行,,335,210,122,7.0,3.35,小型,https://ec.coleman.co.jp/category/234/2000038142.html,公式,2026-09-24,
コールマン,ツーリングドームエアー/LX+,,,現行,,335,210,122,7.0,3.35,小型,https://ec.coleman.co.jp/category/234/2000039085.html,公式,2026-09-24,
コールマン,タフドームエアー/3025+,,,現行,,450,300,180,13.5,4.50,中型,https://ec.coleman.co.jp/category/234/2000039087.html,公式,2026-09-24,
コールマン,インスタントスワガー3P ダークルーム,,,現行,,240,210,130,5.0,2.40,小型,https://ec.coleman.co.jp/category/234/2157660.html,公式,2026-09-24,
コールマン,タフスクリーン2ルーム TX/MDX,,,現行,,560,340,210,19.0,5.60,中型,https://ec.coleman.co.jp/category/234/2191009.html,公式,2026-09-24,
コールマン,タフスクリーン2ルームエアー/LDX＋（デザートサンド）,,,現行,,610,365,220,22.3,6.10,大型,https://ec.coleman.co.jp/category/234/2206458.html,公式,2026-09-24,
コールマン,タフドーム Ⅵ/3025（グレージュ）,,,現行,,450,300,185,13.5,4.50,中型,https://ec.coleman.co.jp/category/234/2206745.html,公式,2026-09-24,
コールマン,レインカーム2ルーム/3025 DR,,,現行,,590,320,205,18.9,5.90,中型,https://ec.coleman.co.jp/category/234/2218233.html,公式,2026-09-24,
コールマン,ルーミーフロント2ルーム(グレージュ),,,現行,,490,260,170,12.7,4.90,中型,https://ec.coleman.co.jp/category/234/2218351.html,公式,2026-09-24,
