maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
DOD,バイクインパップ,T1-053,,現行,,295,220,144,6.5,2.95,小型,https://www.dod.camp/product/t1_053_ca/,公式,2026-09-24,
DOD,おうちテントベビー,T1-130,,現行,,100,100,95,1.0,1.00,小型,https://www.dod.camp/product/t1_130_br/,公式,2026-09-24,
DOD,めんだこテント,T1-176,,現行,,220,215,120,4.7,2.20,小型,https://www.dod.camp/product/t1_176_br/,公式,2026-09-24,
DOD,タテテント,T1-216,,現行,,120,120,190,1.4,1.20,小型,https://www.dod.camp/product/t1_216/,公式,2026-09-24,
DOD,ショウネンテント,T1-602,,現行,,270,220,180,5.9,2.70,小型,https://www.dod.camp/product/t1_602_gy/,公式,2026-09-24,
DOD,トゥリーラブ,T1-687,,現行,,250,250,200,6.2,2.50,小型,https://www.dod.camp/product/t1_687_kh/,公式,2026-09-24,
DOD,カマボコテントベビー,T1-750,,現行,,130,100,72,1.3,1.30,小型,https://www.dod.camp/product/t1_750_tn/,公式,2026-09-24,
DOD,ショウネンテントTC,T1-757,T1-757-GY;T1-757-TN,現行,,270,220,180,5.9,2.70,小型,https://www.dod.camp/product/t1_757_gy/,公式,2026-09-24,
DOD,ムシャテント,T1-819,T1-819-BK;T1-819-KH;T1-819-TN,現行,,290,290,183,8.4,2.90,中型,https://www.dod.camp/product/t1_819_bk/,公式,2026-09-24,
DOD,トゥリーイラヘン,T1-898,T1-898-KH;T1-898-TN,現行,,350,86,177,3.0,3.50,小型,https://www.dod.camp/product/t1_898_kh/,公式,2026-09-24,
DOD,パップフーテント3,T1-966,T1-966-KH;T1-966-TN,現行,,250,220,170,5.5,2.50,小型,https://www.dod.camp/product/t1_966_kh/,公式,2026-09-24,
DOD,ライダーズワンタッチテント,T2-275,T2-275;T2-275-TN,現行,,243,235,133,5.7,2.43,小型,https://www.dod.camp/product/t2_275/,公式,2026-09-24,
DOD,ライダーズバイクインテント,T2-466,,現行,,260,215,140,5.6,2.60,小型,https://www.dod.camp/product/t2_466/,公式,2026-09-24,
DOD,ワンタッチテント,T2-629,T2-629-BK;T2-629-TN,現行,,230,150,117,3.4,2.30,小型,https://www.dod.camp/product/t2_629_bk/,公式,2026-09-24,
