maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
LOGOS,どんぐり PANELドーム 290-BC,10235,,現行,,290,290,220,8.4,2.90,中型,https://www.logos.ne.jp/products/info/10235,公式,2026-09-24,
LOGOS,グランベーシック PANELドゥーブル WXL-BC,10494,,現行,,683,390,210,26.6,6.83,超大型,https://www.logos.ne.jp/products/info/10494,公式,2026-09-24,
LOGOS,Tradcanvas デビルブロックルーム ST-BC（ドゥーブルXL用）,10513,,現行,,295,145,190,4.3,2.95,小型,https://www.logos.ne.jp/products/info/10513,公式,2026-09-24,
LOGOS,ツーリングテントセット,10830,,現行,,210,100,110,2.1,2.10,小型,https://www.logos.ne.jp/products/info/10830,公式,2026-09-24,範囲要確認:セット品。掲載サイズがどの構成要素のものか要確認
LOGOS,ティピーテント,10831,,現行,,,,,,,,https://www.logos.ne.jp/products/info/10831,公式,2026-09-24,サイズ欠損
LOGOS,プレミアム エーコン PANEL EVER DOME L,10922,,現行,,730,400,220,29.2,7.30,超大型,https://www.logos.ne.jp/products/info/10922,公式,2026-09-24,
LOGOS,プレミアム PANEL グレートドゥーブルG2・プラス XL-BD,10960,,現行,,680,350,220,23.8,6.80,超大型,https://www.logos.ne.jp/products/info/10960,公式,2026-09-24,
LOGOS,プレミアム デビルブロックルーム EX-BD（グレートドゥーブルG2・プラス XL-BD用）,10963,,現行,,220,155,180,3.4,2.20,小型,https://www.logos.ne.jp/products/info/10963,公式,2026-09-24,
LOGOS,Tradcanvas PANEL オーニングドゥーブルXL,10965,,現行,,660,330,210,21.8,6.60,超大型,https://www.logos.ne.jp/products/info/10965,公式,2026-09-24,
LOGOS,neos PANEL スクリーンドゥーブル L-BD,10966,,現行,,530,325,180,17.2,5.30,中型,https://www.logos.ne.jp/products/info/10966,公式,2026-09-24,
LOGOS,Tradcanvas オートエアーマジックドーム DUO（電動ポンプ内蔵）,11117,,現行,,290,230,110,6.7,2.90,小型,https://www.logos.ne.jp/products/info/11117,公式,2026-09-24,
LOGOS,Tradcanvas どんぐり PANELドーム 260-BE,11338,,現行,,260,260,180,6.8,2.60,小型,https://www.logos.ne.jp/products/info/11338,公式,2026-09-24,
LOGOS,neos エーコン リビングドーム M-BE,11341,,現行,,420,245,175,10.3,4.20,中型,https://www.logos.ne.jp/products/info/11341,公式,2026-09-24,
LOGOS,neos エーコン リビングドーム L-BE,11342,,現行,,510,310,197,15.8,5.10,中型,https://www.logos.ne.jp/products/info/11342,公式,2026-09-24,
LOGOS,Tradcanvas イージーセット キャビンテント XL-BE,11344,,現行,,335,280,170,9.4,3.35,中型,https://www.logos.ne.jp/products/info/11344,公式,2026-09-24,範囲要確認:セット品。掲載サイズがどの構成要素のものか要確認
LOGOS,SNOOPY KIDS テント,11446,,現行,,122,122,120,1.5,1.22,小型,https://www.logos.ne.jp/products/info/11446,公式,2026-09-24,
LOGOS,LLL プライベートシェルター210-BF,11500,,現行,,210,210,165,4.4,2.10,小型,https://www.logos.ne.jp/products/info/11500,公式,2026-09-24,
LOGOS,neos パーソナルシェルター-BF,11501,,現行,,120,120,190,1.4,1.20,小型,https://www.logos.ne.jp/products/info/11501,公式,2026-09-24,
LOGOS,neos ツーリングドゥーブル DUO -BF,11503,,現行,,365,220,140,8.0,3.65,中型,https://www.logos.ne.jp/products/info/11503,公式,2026-09-24,
LOGOS,【オンライン店限定】ツーリングドゥーブルDUO スターターセット,11522,,現行,,190,65,,1.2,1.90,小型,https://www.logos.ne.jp/products/info/11522,公式,2026-09-24,範囲要確認:セット品。掲載サイズがどの構成要素のものか要確認
LOGOS,neos コネクトベース・カージョイント-BF,11708,,現行,,265,190,185,5.0,2.65,小型,https://www.logos.ne.jp/products/info/11708,公式,2026-09-24,
LOGOS,neos コネクトベース・ヘキサドーム 600-BF,11710,,現行,,600,520,240,31.2,6.00,超大型,https://www.logos.ne.jp/products/info/11710,公式,2026-09-24,
LOGOS,neos プラトーワイドルーム L-BF,11711,,現行,,410,290,182,11.9,4.10,中型,https://www.logos.ne.jp/products/info/11711,公式,2026-09-24,
LOGOS,neos PANEL リビングドーム M-BF,11712,,現行,,495,235,175,11.6,4.95,中型,https://www.logos.ne.jp/products/info/11712,公式,2026-09-24,
