maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
Naturehike,新作Naturehike Cloud Boundary ワンタッチ タープテント Ti BLACK 2.2m 自由な接続 設営簡単 大型 通気性 ワンタッチテント 日よけ,,,現行,,240,240,180,5.8,2.40,小型,https://www.naturehike.co.jp/products/6927595711903,公式,2026-09-24,
Naturehike,Naturehike 軍幕 パップテント TC素材 インナーテント付き シェルターテント 煙突穴付き 4シーズン ソロ 一人用 タープ 多機,,,現行,,250,220,170,5.5,2.50,小型,https://www.naturehike.co.jp/products/6927595713334,公式,2026-09-24,
Naturehike,Naturehike ワンタッチ テント ピラミッドテント 2~4人用 広いスペース スカート付き 耐水圧2000㎜ 日焼けUPF50 +,,,現行,,425,280,215,11.9,4.25,中型,https://www.naturehike.co.jp/products/6927595761830,公式,2026-09-24,範囲要確認:公式が人数バリエーション別に複数の使用サイズを併記（425x280x215cm 重量（付属品付き）：約9.8Kg。「セット内容」：テント本体×1 フライシート× / 425x280x215cm 重量（付属品付き）：約9.8Kg。「セット内容」：テント本体×1 フライシート×）
Naturehike,新作Naturehike Village13 NEO ワンタッチテント プレミアム版+ベーシック版 煙突口対応可能前幕,,,現行,,250,220,,5.5,2.50,小型,https://www.naturehike.co.jp/products/6927595764411,二次,2026-09-24,寸法推定（公式に寸法・重量・定員の記載がなく、ソロ〜デュオ相当と判断）
Naturehike,Naturehike テントポール アルミポール タープポール 200cm 収納袋付き 太さ20mm 軽量 625g,,,現行,,250,220,,5.5,2.50,小型,https://www.naturehike.co.jp/products/6927595782538,二次,2026-09-24,寸法推定（公式に寸法・重量・定員の記載がなく、ソロ〜デュオ相当と判断）
Naturehike,【新作】 Naturehike Village13 Plusワンタッチテント Ti black 前幕付き ロッジ型 テント 13平方メートル 大型 ロッジ型,,,現行,,250,220,,5.5,2.50,小型,https://www.naturehike.co.jp/products/6927595793053,二次,2026-09-24,寸法推定（公式に寸法・重量・定員の記載がなく、ソロ〜デュオ相当と判断）
Naturehike,Naturehike StarRiver ULテント 超軽量 2人用 春夏 防水 防風 ハイキング つｋ二重層 キャノピーあり,,,現行,,245,220,,5.4,2.45,小型,https://www.naturehike.co.jp/products/6975641883074,公式,2026-09-24,
Naturehike,Naturehike The hills Solo テント 1LDK 1~2人用 4シーズン サンドベージュ 2.24KG 超軽量,,,現行,,268,237,,6.4,2.68,小型,https://www.naturehike.co.jp/products/6976023920530,二次,2026-09-24,寸法推定（公式の定員2名から算出。公式に使用時サイズの記載がないため）
Naturehike,Naturehike Angoワンタッチテント 3人用 防水 ロッジ型テント タープ シルバーコーティング 小屋 UPF50+ UVカット,,,現行,,210,190,140,4.0,2.10,小型,https://www.naturehike.co.jp/products/6976023922817,公式,2026-09-24,
Naturehike,Naturehike Campfire 八角 ワンポールテント 2~4人用 焚き火可 難燃 煙突穴付き スカート 軽量 2.1m 簡単設営,,,現行,,400,400,250,16.0,4.00,中型,https://www.naturehike.co.jp/products/6976023925610,公式,2026-09-24,
Naturehike,【新作】 Naturehike Village13 Plusワンタッチテント Ti black 前幕付き ロッジ型 テント 13平方メートル 大型 ロッジ型,,,現行,,250,220,,5.5,2.50,小型,https://www.naturehike.co.jp/products/6977465862990,二次,2026-09-24,寸法推定（公式に寸法・重量・定員の記載がなく、ソロ〜デュオ相当と判断）
Naturehike,新作Naturehike Ango ワンタッチテント アルミニウムポール 2～3人用 ‎UPF50+ パークテント キャンプ 設営簡単 uvカット,,,現行,,313,276,,8.6,3.13,中型,https://www.naturehike.co.jp/products/6977465865540,二次,2026-09-24,寸法推定（公式の定員3名から算出。公式に使用時サイズの記載がないため）
Naturehike,Naturehike Village13 ワンタッチ テント 3-6人用 UVカード 13㎡ 広いスペース 四季兼用 二重層 自立式 大型,CNH22ZP004,,現行,,475,270,183,12.8,4.75,中型,https://www.naturehike.co.jp/products/cnh22zp004,公式,2026-09-24,
Naturehike,Naturehike Dune 7.6 アップグレード版 ドームテント 2ルーム UPF50+ 煙突穴付き 自立式 二重層 設営簡単 前室,CNH22ZP028,,現行,,320,280,,9.0,3.20,中型,https://www.naturehike.co.jp/products/cnh22zp028-1,公式,2026-09-24,範囲要確認:公式が人数バリエーション別に複数の使用サイズを併記（320x280xH180cm。収納サイズ：66x26x35cm。アウトドア、ビーチ、登山、キャンプ、運動会な / 320x280xH180cm。収納サイズ：66x26x35cm。アウトドア、ビーチ、登山、キャンプ、運動会な）
