maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
ogawa,トリアングロ,2745,,廃番,,454,400,,18.2,4.54,中型,https://www.store-campal.co.jp/products/detail.php?product_id=101,二次,2026-09-24,寸法推定（公式の重量12.9kgから算出。公式に使用時サイズの記載がないため）
ogawa,カーサイドロッジ,2340,,現行,,487,430,,20.9,4.87,大型,https://www.store-campal.co.jp/products/detail.php?product_id=10221,二次,2026-09-24,寸法推定（公式の重量15.6kgから算出。公式に使用時サイズの記載がないため）
ogawa,ホズST,2022,,現行,,272,239,,6.5,2.72,小型,https://www.store-campal.co.jp/products/detail.php?product_id=10222,二次,2026-09-24,寸法推定（公式の重量3.34kgから算出。公式に使用時サイズの記載がないため）
ogawa,ヴィガスII,2653,,現行,,402,354,,14.2,4.02,中型,https://www.store-campal.co.jp/products/detail.php?product_id=10223,二次,2026-09-24,寸法推定（公式の重量9.36kgから算出。公式に使用時サイズの記載がないため）
ogawa,クーポラ,2679,,廃番,,492,433,,21.3,4.92,大型,https://www.store-campal.co.jp/products/detail.php?product_id=10224,二次,2026-09-24,寸法推定（公式の重量15.95kgから算出。公式に使用時サイズの記載がないため）
ogawa,タッソUL,2728,,現行,,184,162,,3.0,1.84,小型,https://www.store-campal.co.jp/products/detail.php?product_id=10225,二次,2026-09-24,寸法推定（公式の重量1.2kgから算出。公式に使用時サイズの記載がないため）
ogawa,アポロンS,2777,,廃番,,500,280,190,14.0,5.00,中型,https://www.store-campal.co.jp/products/detail.php?product_id=10226,二次,2026-09-24,アポロンS アポロンの小型版として推定・要確認
ogawa,グロッケ8T/C,2787,,現行,,470,470,310,22.1,4.70,大型,https://www.store-campal.co.jp/products/detail.php?product_id=10227,二次,2026-09-24,グロッケ8T/C＝グロッケ8同寸
ogawa,ツインクレスタT/C,,,現行,,570,305,200,17.4,5.70,中型,https://www.store-campal.co.jp/products/detail.php?product_id=10229,二次,2026-09-24,ツインクレスタT/C＝ツインクレスタ同寸
ogawa,ティエララルゴ,2760,,廃番,,620,310,210,19.2,6.20,中型,https://www.store-campal.co.jp/products/detail.php?product_id=103,二次,2026-09-24,ティエララルゴ 本体サイズ 約620×310×210（二次情報で確認）
