maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
OneTigris,OneTigris ASH CANOPY Hammock Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/ash-canopy-hammock-hot-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,BACKWOODS BUNGALOW UL Super Shelter 2.0,,,現行,,,,,,,,https://camping.onetigris.com/products/backwoods-bungalow-ul-super-shelter-v2,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,BASTION 2-Person Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/bastion-2p-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,CONIFER T/C Chimney Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/conifer-tc-chimney-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,COSMITTO Backpacking 1-Person Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/cosmitto-backpacking-1-person-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,COSMITTO Backpacking Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/cosmitto-backpacking-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,JOVIAN Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/jovian-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,NEBULA Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/nebula-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,Northgaze T/C Chimney Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/northgaze-tc-chimney-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,APEX TRAIL Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/onetigris-apex-trail-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,OneTigris Camping NORTHGAZE 2.0 Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/onetigris-camping-northgaze-2-0-hot-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,RAVEN NEST Tunnel Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/onetigris-camping-raven-nest-tunnel-hot-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,Onetigris CozShack Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/onetigris-oozshack-hot-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,ORBITIS Camping Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/orbitis-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,RAVEN NEST Tunnel Mesh Tent 06,,,現行,,,,,,,,https://camping.onetigris.com/products/raven-nest-tunnel-mesh-tent-06,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,T/C ROC SHIELD Bushcraft Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/roc-shield-bushcraft-tent-tc,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,ROCDOMUS Hammock Awning & Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/rocdomus-hammock-awning-and-hot-tent-coyote-brown,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,Rock Fortress Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/rock-fortress-hot-tent-coyote-brown,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,SCARECROW Camping Shelter,,,現行,,,,,,,,https://camping.onetigris.com/products/scarecrow-camping-shelter,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,SMOKEY HUT Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/smokey-hut-hot-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,T/C SOLO HOMESTEAD Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/solo-homestead-camping-tent-tc,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,T/C SOLO HOMESTEAD Camping Tent 2.0,,,現行,,,,,,,,https://camping.onetigris.com/products/solo-homestead-camping-tent-tc-v2,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,STELLA 4 Seasons Single Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/stella-4-seasons-single-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,STELLA Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/stella-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,TEGIMEN Hammock Awning & Hot Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/tegimen-hammock-awning-hot-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,TENTSFORMER Poncho Shelter,,,現行,,,,,,,,https://camping.onetigris.com/products/tentsformer-poncho-shelter,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
OneTigris,TOWER M Camping Tent,,,現行,,,,,,,,https://camping.onetigris.com/products/tower-m-camping-tent,公式,2026-09-24,サイズ欠損;公式ストアに設営時の床寸法のテキスト記載なし（寸法は製品画像内のみ）
