maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
サバティカル,スカイパイロット TC,89200001,,現行,,,,,,,,https://sabbatical.jp/product/category/shelter/89200001,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,モーニンググローリー TC,89200002,,現行,,,,,,,,https://sabbatical.jp/product/category/shelter/89200002,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,モーニンググローリー シンセティック プラス,89200010,,現行,,,,,,,,https://sabbatical.jp/product/category/shelter/89200010,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,スカイパイロット シンセティック プラス,89200011,,現行,,,,,,,,https://sabbatical.jp/product/category/shelter/89200011,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,アルニカ (4人用インナー付属),89200004,,現行,,,,,,,,https://sabbatical.jp/product/category/tent/89200004,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,アルニカ プラス (4人用インナー付属),89200012,,現行,,,,,,,,https://sabbatical.jp/product/category/tent/89200012,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,ギリア プラス (2人用・5人用インナー付属),89200013,,現行,,,,,,,,https://sabbatical.jp/product/category/tent/89200013,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,ディークレスト,89200014,,現行,,,,,,,,https://sabbatical.jp/product/category/tent/89200014,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,スイッチバック,89200015,,現行,,,,,,,,https://sabbatical.jp/product/category/tent/89200015,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,リネル１,89200016,,現行,,,,,,,,https://sabbatical.jp/product/category/tent/89200016,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
サバティカル,リネル２,89200017,,現行,,,,,,,,https://sabbatical.jp/product/category/tent/89200017,公式,2026-09-24,サイズ欠損;公式は収納サイズのみ記載。使用時サイズは図版(SVG/PDF)内の画像のみでテキスト抽出不可;サイズ欠損
