maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
スノーピーク,リビングシェルロング Pro.,TP-660,,現行,,530,415,220,22.0,5.30,大型,https://ec.snowpeak.co.jp/item/SNP0114A0472,公式,2026-09-24,
スノーピーク,ランドステーションL,TP-820,,現行,,885,510,210,45.1,8.85,超大型,https://ec.snowpeak.co.jp/item/SNP0115A0441,公式,2026-09-24,
スノーピーク,リビングシェル,TP-623R,,現行,,455,415,210,18.9,4.55,中型,https://ec.snowpeak.co.jp/item/SNP0116A0768,公式,2026-09-24,
スノーピーク,ドックドーム Pro.6 アイボリー,SD-507IV,,現行,,490,325,180,15.9,4.90,中型,https://ec.snowpeak.co.jp/item/SNP0117A0244,公式,2026-09-24,
スノーピーク,ファル Pro.air 2,SSD-702,,現行,,220,150,100,3.3,2.20,小型,https://ec.snowpeak.co.jp/item/SNP0117A0500,二次,2026-09-24,ファル Pro.air 2 設営サイズ（販売店掲載値・要確認）
スノーピーク,ファル Pro.air 3,SSD-703,,現行,,230,200,105,4.6,2.30,小型,https://ec.snowpeak.co.jp/item/SNP0117A0501,二次,2026-09-24,ファル Pro.air 3 設営サイズ（販売店掲載値・要確認）
スノーピーク,ランドロック,TP-671R,,現行,,625,405,205,25.3,6.25,大型,https://ec.snowpeak.co.jp/item/SNP0117A0604,公式,2026-09-24,
スノーピーク,ランドステーションL アイボリー,TP-821IV,,現行,,885,510,210,45.1,8.85,超大型,https://ec.snowpeak.co.jp/item/SNP0117A0606,公式,2026-09-24,
スノーピーク,アメニティドームM,SDE-001RH,,現行,,505,280,150,14.1,5.05,中型,https://ec.snowpeak.co.jp/item/SNP0118A0266,二次,2026-09-24,アメニティドームM 使用時サイズ（複数二次情報で一致）
スノーピーク,アメニティドームＳ,SDE-002RH,,現行,,355,230,120,8.2,3.55,小型,https://ec.snowpeak.co.jp/item/SNP0118A0270,二次,2026-09-24,アメニティドームS 使用時サイズ（複数二次情報で一致）
スノーピーク,ヘキサイーズ 1,SDI-101,,現行,,400,320,120,12.8,4.00,中型,https://ec.snowpeak.co.jp/item/SNP0118A0282,二次,2026-09-24,ヘキサイーズ1 タープ展開時サイズ（大きい方を採用）
スノーピーク,エントリーパックTS,SET-925,,現行,,400,390,220,15.6,4.00,中型,https://ec.snowpeak.co.jp/item/SNP0119A0383,二次,2026-09-24,エントリーパックTS テント部 400×390×220（価格.com掲載の展開時サイズ）
スノーピーク,リビングシェルロング Pro. アイボリー,TP-660IV,,現行,,530,415,220,22.0,5.30,大型,https://ec.snowpeak.co.jp/item/SNP0119A0948,公式,2026-09-24,
スノーピーク,ランドロックアイボリー,TP-671IV,,現行,,625,405,205,25.3,6.25,大型,https://ec.snowpeak.co.jp/item/SNP0119A0949,公式,2026-09-24,
スノーピーク,メッシュシェルター,TP-925,,現行,,530,300,195,15.9,5.30,中型,https://ec.snowpeak.co.jp/item/SNP0119A0951,二次,2026-09-24,メッシュシェルター セット時サイズ（販売店掲載値・要確認）
スノーピーク,アメニティドーム エルフィールド,AD-020,,現行,,440,375,210,16.5,4.40,中型,https://ec.snowpeak.co.jp/item/SNP0120A0027,公式,2026-09-24,
スノーピーク,ランドブリーズPro.1,SD-641,,現行,,390,260,125,10.1,3.90,中型,https://ec.snowpeak.co.jp/item/SNP0120A0559,二次,2026-09-24,ランドブリーズPro.1 使用時サイズ（販売店掲載値・要確認）
スノーピーク,ランドブリーズPro.3,SD-643,,現行,,465,300,150,14.0,4.65,中型,https://ec.snowpeak.co.jp/item/SNP0120A0561,二次,2026-09-24,ランドブリーズPro.3 使用時サイズ（販売店掲載値・要確認）
スノーピーク,ランドブリーズPro.4,SD-644,,現行,,510,325,175,16.6,5.10,中型,https://ec.snowpeak.co.jp/item/SNP0120A0563,二次,2026-09-24,ランドブリーズPro.4 使用時サイズ（二次情報で確認）
スノーピーク,ミニッツドーム Pro.air 1,SSD-712,,現行,,205,105,100,2.2,2.05,小型,https://ec.snowpeak.co.jp/item/SNP0120A0734,二次,2026-09-24,ミニッツドームPro.air1 設営サイズ（販売店掲載値・要確認）
スノーピーク,アルファブリーズ,SD-480-IV-US,,現行,,440,270,145,11.9,4.40,中型,https://ec.snowpeak.co.jp/item/SNP0121A0369,二次,2026-09-24,アルファブリーズ 使用時サイズ（販売店掲載値・要確認）
スノーピーク,アメニティドームM アイボリー,SDE-001-IV-US,,現行,,505,280,150,14.1,5.05,中型,https://ec.snowpeak.co.jp/item/SNP0121A0370,二次,2026-09-24,アメニティドームM アイボリー＝SDE-001RH同寸
スノーピーク,アメニティドーム S アイボリー,SDE-002-IV-US,,現行,,355,230,120,8.2,3.55,小型,https://ec.snowpeak.co.jp/item/SNP0121A0371,二次,2026-09-24,アメニティドームS アイボリー＝SDE-002RH同寸
スノーピーク,ヴォールト アイボリー,SDE-080-IV-US,,現行,,530,300,160,15.9,5.30,中型,https://ec.snowpeak.co.jp/item/SNP0121A0372,二次,2026-09-24,ヴォールト アイボリー＝SDE-080RH同寸
スノーピーク,ヴォールト,SDE-080RH,,現行,,530,300,160,15.9,5.30,中型,https://ec.snowpeak.co.jp/item/SNP0121A0373,二次,2026-09-24,ヴォールト 使用時サイズ（二次情報で確認）
スノーピーク,ペンタイーズ アイボリー,SDI-001-IV-US,,現行,,400,320,120,12.8,4.00,中型,https://ec.snowpeak.co.jp/item/SNP0121A0374,二次,2026-09-24,ペンタイーズ アイボリー タープ展開時サイズ（大きい方を採用）
スノーピーク,ヘキサイーズ1 アイボリー,SDI-101-IV-US,,現行,,400,320,120,12.8,4.00,中型,https://ec.snowpeak.co.jp/item/SNP0121A0375,二次,2026-09-24,ヘキサイーズ1 アイボリー＝SDI-101同寸
スノーピーク,ラゴ1 アイボリー,SSD-730-IV-US,,現行,,210,100,105,2.1,2.10,小型,https://ec.snowpeak.co.jp/item/SNP0121A0459,二次,2026-09-24,ラゴ1 アイボリー 設営サイズ（販売店掲載値・要確認）
スノーピーク,トヤ 2,SD-180,,現行,,205,130,115,2.7,2.05,小型,https://ec.snowpeak.co.jp/item/SNP0122A0500,二次,2026-09-24,トヤ2 使用時サイズ（二次情報で確認）
スノーピーク,アメニティドームL,SDE-003RD,,現行,,540,310,165,16.7,5.40,中型,https://ec.snowpeak.co.jp/item/SNP0122A0501,二次,2026-09-24,アメニティドームL 使用時サイズ（複数二次情報で一致）
スノーピーク,ペンタ Pro.air1 ペンタイーズセット,FES-199,,現行,,400,320,120,12.8,4.00,中型,https://ec.snowpeak.co.jp/item/SNP0123A0175,二次,2026-09-24,範囲要確認:テント＋タープ等のセット品。掲載サイズがどの構成要素のものか要確認;ペンタPro.air1 ペンタイーズセット タープ展開時（大きい方を採用）
スノーピーク,ランドブリーズ Pro.air DUO,FES-652,,現行,,440,270,110,11.9,4.40,中型,https://ec.snowpeak.co.jp/item/SNP0123A0194,二次,2026-09-24,ランドブリーズPro.air DUO 設営サイズ（販売店掲載値・要確認）
スノーピーク,65周年記念トレイルトリッパーPro.1,SD-651,,現行,,300,230,125,6.9,3.00,小型,https://ec.snowpeak.co.jp/item/SNP0123A0512,公式,2026-09-24,
スノーピーク,65周年記念トレイルトリッパーPro.1アイボリー,SD-651-IV,,現行,,300,230,105,6.9,3.00,小型,https://ec.snowpeak.co.jp/item/SNP0123A0513,二次,2026-09-24,トレイルトリッパーPro.1 アイボリー＝SD-651同寸（公式値）
