maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
テンマクデザイン,BLACK SUMMIT GG8,,,現行,,468,468,234,21.9,4.68,大型,https://www.tent-mark.com/products/black_summit_gg8/,公式,2026-09-24,
テンマクデザイン,サーカス TC　コンフォート　ソロ,,,現行,,362,340,230,12.3,3.62,中型,https://www.tent-mark.com/products/circus_tc_comfort_solo/,公式,2026-09-24,
テンマクデザイン,サーカスTC　DX+　ダックグリーン,,,現行,,442,420,280,18.6,4.42,中型,https://www.tent-mark.com/products/circus_tc_dx_duck_green_version/,公式,2026-09-24,
テンマクデザイン,サーカスTC DX MID+,,,現行,,485,462,310,22.4,4.85,大型,https://www.tent-mark.com/products/circus_tc_dx_mid/,公式,2026-09-24,
テンマクデザイン,サーカスTC DX+,,,現行,,442,420,280,18.6,4.42,中型,https://www.tent-mark.com/products/circus_tc_dx_sand_color/,公式,2026-09-24,
テンマクデザイン,サーカスTC＋,,,現行,,442,420,280,18.6,4.42,中型,https://www.tent-mark.com/products/circus_tc_plus/,公式,2026-09-24,
テンマクデザイン,ホーボーズネスト 2.1,,,現行,,238,223,115,5.3,2.38,小型,https://www.tent-mark.com/products/hobos_nest2/,公式,2026-09-24,
テンマクデザイン,ホーボーズネスト 2.2　Expedition,,,現行,,238,223,115,5.3,2.38,小型,https://www.tent-mark.com/products/hobos_nest2point2_expedition/,公式,2026-09-24,
テンマクデザイン,LaLa,,,現行,,207,207,140,4.3,2.07,小型,https://www.tent-mark.com/products/lala/,公式,2026-09-24,
テンマクデザイン,ミグラテール,,,現行,,353,232,210,8.2,3.53,小型,https://www.tent-mark.com/products/migrateaur/,公式,2026-09-24,
テンマクデザイン,パンダライト,,,現行,,240,240,150,5.8,2.40,小型,https://www.tent-mark.com/products/panda_light/,公式,2026-09-24,
テンマクデザイン,パンダTC＋ブライト,,,現行,,270,270,170,7.3,2.70,小型,https://www.tent-mark.com/products/panda_tc_plus/,公式,2026-09-24,
テンマクデザイン,プリン,,,現行,,,,,,,,https://www.tent-mark.com/products/purin/,公式,2026-09-24,サイズ欠損;公称値がインナーサイズのみ（外寸の公式記載なし）
テンマクデザイン,サミットボーダーライン,,,現行,,420,405,15,17.0,4.20,中型,https://www.tent-mark.com/products/summit_borderline/,公式,2026-09-24,"公式表記の高さが異常値の可能性"
テンマクデザイン,タクティカルサミット,,,現行,,468,468,234,21.9,4.68,大型,https://www.tent-mark.com/products/tactical_summit/,公式,2026-09-24,
テンマクデザイン,テンゲルスタンダード,,,現行,,310,225,150,7.0,3.10,小型,https://www.tent-mark.com/products/tenger_standard/,公式,2026-09-24,
テンマクデザイン,テンゲルスタンダード　ライト,,,現行,,310,225,150,7.0,3.10,小型,https://www.tent-mark.com/products/tenger_standard_light/,公式,2026-09-24,
テンマクデザイン,タイニールームフルクローズド,,,現行,,415,197,197,8.2,4.15,中型,https://www.tent-mark.com/products/tiny_room_full_closed/,公式,2026-09-24,
テンマクデザイン,タイニールームシースルー,,,現行,,415,197,197,8.2,4.15,中型,https://www.tent-mark.com/products/tiny_room_see_through/,公式,2026-09-24,
